icu_collections                    ,28600590   ,4310990   ,2.70
icu_properties                     ,28739979   ,4330319   ,2.70
synstructure                       ,34620490   ,5204082   ,2.70
tinytemplate                       ,14215205   ,2142826   ,2.70
utf8_iter                          ,27981495   ,4217198   ,2.70
writeable                          ,28661678   ,4320477   ,2.70
zerovec                            ,28838003   ,4346965   ,2.70
zerovec-derive                     ,28739773   ,4324792   ,2.70
displaydoc                         ,29533729   ,4422026   ,2.71
failure_derive                     ,975388     ,146122    ,2.71
idna_adapter                       ,28547330   ,4274237   ,2.71
linux-raw-sys                      ,53250225   ,7987486   ,2.71
yoke                               ,29169921   ,4379782   ,2.71
yoke-derive                        ,29212600   ,4384941   ,2.71
arrayvec                           ,26983907   ,4026618   ,2.72
bytemuck                           ,18673018   ,2784394   ,2.72
globset                            ,11453561   ,1712984   ,2.72
icu_normalizer_data                ,29879029   ,4461265   ,2.72
icu_properties_data                ,30057524   ,4485354   ,2.72
openssl-src                        ,5857143    ,874403    ,2.72
time                               ,37360863   ,5576279   ,2.72
unicode-segmentation               ,23365596   ,3484394   ,2.72
unicode-xid                        ,26542770   ,3957694   ,2.72
jpeg-decoder                       ,6018958    ,894498    ,2.73
proc-macro-error                   ,17690925   ,2634842   ,2.73
rand                               ,77667981   ,11576692  ,2.73
wait-timeout                       ,12630393   ,1879905   ,2.73
console_error_panic_hook           ,3904471    ,578575    ,2.74
dotenv                             ,3689926    ,547325    ,2.74
litemap                            ,30478100   ,4515925   ,2.74
proc-macro-error-attr              ,17631617   ,2615613   ,2.74
rand_core                          ,82262919   ,12182217  ,2.74
rustc-demangle                     ,28017317   ,4154390   ,2.74
thread_local                       ,28307519   ,4198769   ,2.74
tinystr                            ,29627210   ,4390254   ,2.74
zerofrom                           ,29891075   ,4429727   ,2.74
chrono                             ,37410414   ,5519522   ,2.75
filetime                           ,17347067   ,2564766   ,2.75
fxhash                             ,6866656    ,1012840   ,2.75
humansize                          ,3114508    ,459378    ,2.75
miniz_oxide                        ,47633062   ,7026005   ,2.75
num-integer                        ,30665842   ,4529291   ,2.75
os_str_bytes                       ,9161820    ,1355492   ,2.75
rustversion                        ,34096417   ,5035380   ,2.75
sha1_smol                          ,7831539    ,1158288   ,2.75
unicase                            ,17153946   ,2532755   ,2.75
zerofrom-derive                    ,29878912   ,4418798   ,2.75
bumpalo                            ,25235474   ,3720281   ,2.76
dirs-next                          ,8325278    ,1226977   ,2.76
futures-macro                      ,33005306   ,4851098   ,2.76
semver                             ,45555098   ,6713170   ,2.76
tinyvec                            ,30564804   ,4498660   ,2.76
tinyvec_macros                     ,27780075   ,4084185   ,2.76
fastrand                           ,45710358   ,6707693   ,2.77
hashbrown                          ,105985807  ,15555279  ,2.77
tracing-attributes                 ,32447655   ,4761673   ,2.77
ureq                               ,9430706    ,1384081   ,2.77
fs2                                ,3552134    ,519513    ,2.78
native-tls                         ,17252657   ,2519645   ,2.78
time-core                          ,31461516   ,4594670   ,2.78
unicode-normalization              ,23634056   ,3455828   ,2.78
webpki                             ,3304292    ,482706    ,2.78
winapi                             ,19145506   ,2798309   ,2.78
codespan-reporting                 ,8087258    ,1179055   ,2.79
heck                               ,66323633   ,9652524   ,2.79
ndarray                            ,7241421    ,1054571   ,2.79
encoding_rs                        ,25528455   ,3698419   ,2.80
num-conv                           ,28009833   ,4064298   ,2.80
powerfmt                           ,28532815   ,4142702   ,2.80
signal-hook-registry               ,30099545   ,4373964   ,2.80
winapi-util                        ,17049418   ,2477559   ,2.80
backtrace                          ,26801853   ,3876426   ,2.81
iana-time-zone                     ,34152193   ,4942830   ,2.81
is-terminal                        ,21870994   ,3159779   ,2.81
target-lexicon                     ,18767579   ,2708862   ,2.81
toml_edit                          ,45042144   ,6521211   ,2.81
vec_map                            ,8100435    ,1170472   ,2.81
zeroize                            ,31430919   ,4540473   ,2.81
deranged                           ,31143029   ,4488221   ,2.82
keccak                             ,6226326    ,896298    ,2.82
memoffset                          ,35236611   ,5077203   ,2.82
rand_pcg                           ,6553140    ,944566    ,2.82
sha2                               ,38234960   ,5503577   ,2.82
wasm-bindgen                       ,22377971   ,3222698   ,2.82
wasm-bindgen-shared                ,22207337   ,3200253   ,2.82
console                            ,15474920   ,2225350   ,2.83
dlv-list                           ,6101694    ,874519    ,2.83
ordered-multimap                   ,6049735    ,866987    ,2.83
phf_generator                      ,21567593   ,3101143   ,2.83
rust-ini                           ,6350541    ,912879    ,2.83
static_assertions                  ,24436087   ,3513827   ,2.83
wasm-bindgen-backend               ,22340825   ,3209451   ,2.83
wasm-bindgen-macro                 ,22314175   ,3206702   ,2.83
wasm-bindgen-macro-support         ,22321421   ,3206935   ,2.83
bstr                               ,21584654   ,3092836   ,2.84
dirs-sys-next                      ,9388977    ,1344041   ,2.84
ena                                ,4192745    ,600376    ,2.84
futures                            ,33419407   ,4779719   ,2.84
futures-executor                   ,31383616   ,4484438   ,2.84
json5                              ,4695020    ,671565    ,2.84
mime                               ,29810970   ,4261241   ,2.84
mio                                ,44302290   ,6346978   ,2.84
num-format                         ,4608388    ,659061    ,2.84
tracing-appender                   ,5553709    ,794321    ,2.84
winnow                             ,47914550   ,6854792   ,2.84
humantime                          ,24555146   ,3504146   ,2.85
ignore                             ,7901552    ,1127066   ,2.85
jobserver                          ,26440667   ,3771001   ,2.85
miette                             ,3332303    ,475019    ,2.85
miette-derive                      ,3328566    ,473777    ,2.85
redox_users                        ,8702251    ,1238924   ,2.85
sized-chunks                       ,2288357    ,326093    ,2.85
terminal_size                      ,10847761   ,1544107   ,2.85
time-macros                        ,31883872   ,4550512   ,2.85
tokio-native-tls                   ,15681463   ,2238143   ,2.85
winapi-i686-pc-windows-gnu         ,16782761   ,2389342   ,2.85
winapi-x86_64-pc-windows-gnu       ,16875174   ,2405879   ,2.85
windows_i686_gnullvm               ,25597349   ,3648417   ,2.85
addr2line                          ,27924531   ,3960179   ,2.86
cfg_aliases                        ,24694274   ,3506135   ,2.86
curve25519-dalek                   ,10587411   ,1502727   ,2.86
leb128                             ,3231873    ,458503    ,2.86
object                             ,30217374   ,4288799   ,2.86
simd-adler32                       ,12881675   ,1827634   ,2.86
subtle                             ,32810935   ,4666484   ,2.86
tokio-util                         ,34883444   ,4949272   ,2.86
bs58                               ,4457254    ,631320    ,2.87
gimli                              ,29744325   ,4211152   ,2.87
indoc                              ,17703111   ,2510112   ,2.87
